3:176 -> K: 21 | acc: 54.400000000000006
3:177 -> K: 22 | acc: 52.0
3:178 -> K: 22 | acc: 52.0
3:179 -> K: 23 | acc: 51.2
3:180 -> K: 23 | acc: 51.2
3:181 -> K: 21 | acc: 51.2
3:182 -> K: 23 | acc: 50.4
3:183 -> K: 24 | acc: 52.0
3:184 -> K: 22 | acc: 50.4
3:185 -> K: 22 | acc: 52.800000000000004
3:186 -> K: 22 | acc: 52.800000000000004
3:187 -> K: 24 | acc: 53.6
3:188 -> K: 24 | acc: 52.0
3:189 -> K: 24 | acc: 52.800000000000004
3:190 -> K: 22 | acc: 50.4
3:191 -> K: 23 | acc: 50.4
3:192 -> K: 23 | acc: 51.2
3:193 -> K: 23 | acc: 51.2
3:194 -> K: 23 | acc: 52.0
3:195 -> K: 23 | acc: 52.800000000000004
3:196 -> K: 23 | acc: 49.6
3:197 -> K: 22 | acc: 48.0
3:198 -> K: 23 | acc: 48.0
3:199 -> K: 23 | acc: 48.8
3:200 -> K: 23 | acc: 48.0
3:201 -> K: 24 | acc: 48.0
3:202 -> K: 23 | acc: 48.8
3:203 -> K: 23 | acc: 48.8
3:204 -> K: 24 | acc: 48.0
3:205 -> K: 23 | acc: 47.199999999999996
3:206 -> K: 24 | acc: 48.0
3:207 -> K: 24 | acc: 48.0
3:208 -> K: 24 | acc: 47.199999999999996
3:209 -> K: 24 | acc: 48.0
3:210 -> K: 24 | acc: 48.0
3:211 -> K: 23 | acc: 47.199999999999996
3:212 -> K: 24 | acc: 46.400000000000006
3:213 -> K: 24 | acc: 47.199999999999996
3:214 -> K: 24 | acc: 48.0
3:215 -> K: 24 | acc: 47.199999999999996
3:216 -> K: 24 | acc: 47.199999999999996
3:217 -> K: 24 | acc: 46.400000000000006
3:218 -> K: 24 | acc: 46.400000000000006
3:219 -> K: 24 | acc: 45.6
3:220 -> K: 24 | acc: 45.6
3:221 -> K: 24 | acc: 44.800000000000004
3:222 -> K: 24 | acc: 44.800000000000004
3:223 -> K: 24 | acc: 45.6
3:224 -> K: 24 | acc: 45.6
3:225 -> K: 24 | acc: 45.6
3:226 -> K: 24 | acc: 45.6
3:227 -> K: 24 | acc: 45.6
3:228 -> K: 24 | acc: 45.6
3:229 -> K: 24 | acc: 45.6
3:230 -> K: 24 | acc: 45.6
3:231 -> K: 24 | acc: 45.6
3:232 -> K: 24 | acc: 45.6
3:233 -> K: 24 | acc: 45.6
4:65 -> K: 24 | acc: 51.2
4:66 -> K: 21 | acc: 51.2
4:67 -> K: 20 | acc: 51.2
4:68 -> K: 21 | acc: 55.2
4:69 -> K: 23 | acc: 55.2
4:70 -> K: 20 | acc: 54.400000000000006
4:71 -> K: 21 | acc: 55.2
4:72 -> K: 20 | acc: 58.4
4:73 -> K: 20 | acc: 58.4
4:74 -> K: 21 | acc: 54.400000000000006
4:75 -> K: 20 | acc: 56.00000000000001
4:76 -> K: 21 | acc: 63.2
4:77 -> K: 21 | acc: 65.60000000000001
4:78 -> K: 21 | acc: 64.0
4:79 -> K: 21 | acc: 64.8
4:80 -> K: 21 | acc: 65.60000000000001
4:81 -> K: 21 | acc: 64.0
4:82 -> K: 21 | acc: 64.0
4:83 -> K: 21 | acc: 60.8
4:84 -> K: 21 | acc: 60.8
4:85 -> K: 21 | acc: 63.2
4:86 -> K: 20 | acc: 63.2
4:87 -> K: 20 | acc: 64.0
4:88 -> K: 21 | acc: 64.0
4:89 -> K: 20 | acc: 65.60000000000001
4:90 -> K: 20 | acc: 64.0
4:91 -> K: 20 | acc: 63.2
4:92 -> K: 20 | acc: 62.4
4:93 -> K: 23 | acc: 62.4
4:94 -> K: 21 | acc: 60.8
4:95 -> K: 21 | acc: 61.6
4:96 -> K: 21 | acc: 61.6
4:97 -> K: 21 | acc: 63.2
4:98 -> K: 22 | acc: 61.6
4:99 -> K: 20 | acc: 63.2
4:100 -> K: 20 | acc: 61.6
4:101 -> K: 20 | acc: 62.4
4:102 -> K: 20 | acc: 59.199999999999996
4:103 -> K: 22 | acc: 60.0
4:104 -> K: 22 | acc: 60.8
4:105 -> K: 23 | acc: 61.6
4:106 -> K: 24 | acc: 60.8
4:107 -> K: 22 | acc: 61.6
4:108 -> K: 22 | acc: 60.8
4:109 -> K: 22 | acc: 60.0
4:110 -> K: 22 | acc: 60.0
4:111 -> K: 23 | acc: 61.6
4:112 -> K: 22 | acc: 64.0
4:113 -> K: 22 | acc: 66.4
4:114 -> K: 22 | acc: 68.0
4:115 -> K: 22 | acc: 66.4
4:116 -> K: 24 | acc: 66.4
4:117 -> K: 24 | acc: 67.2
4:118 -> K: 22 | acc: 64.8
4:119 -> K: 23 | acc: 65.60000000000001
4:120 -> K: 23 | acc: 66.4
4:121 -> K: 21 | acc: 68.8
4:122 -> K: 22 | acc: 65.60000000000001
4:123 -> K: 20 | acc: 64.8
4:124 -> K: 23 | acc: 64.8
4:125 -> K: 20 | acc: 64.0
4:126 -> K: 21 | acc: 64.8
4:127 -> K: 21 | acc: 64.0
4:128 -> K: 21 | acc: 62.4
4:129 -> K: 24 | acc: 63.2
4:130 -> K: 22 | acc: 61.6
4:131 -> K: 22 | acc: 62.4
4:132 -> K: 22 | acc: 61.6
4:133 -> K: 24 | acc: 64.0
4:134 -> K: 24 | acc: 64.0
4:135 -> K: 23 | acc: 62.4
4:136 -> K: 24 | acc: 63.2
4:137 -> K: 24 | acc: 63.2
4:138 -> K: 23 | acc: 63.2
4:139 -> K: 24 | acc: 62.4
4:140 -> K: 24 | acc: 64.8
4:141 -> K: 24 | acc: 64.8
4:142 -> K: 23 | acc: 62.4
4:143 -> K: 23 | acc: 62.4
4:144 -> K: 23 | acc: 62.4
4:145 -> K: 23 | acc: 61.6
4:146 -> K: 24 | acc: 62.4
4:147 -> K: 24 | acc: 60.8
4:148 -> K: 24 | acc: 63.2
4:149 -> K: 24 | acc: 63.2
4:150 -> K: 24 | acc: 61.6
4:151 -> K: 24 | acc: 61.6
4:152 -> K: 24 | acc: 60.0
4:153 -> K: 24 | acc: 61.6
4:154 -> K: 24 | acc: 61.6
4:155 -> K: 22 | acc: 60.8
4:156 -> K: 22 | acc: 60.8
4:157 -> K: 24 | acc: 63.2
4:158 -> K: 23 | acc: 60.8
4:159 -> K: 23 | acc: 59.199999999999996
4:160 -> K: 21 | acc: 56.00000000000001
4:161 -> K: 23 | acc: 59.199999999999996
4:162 -> K: 23 | acc: 57.599999999999994
4:163 -> K: 23 | acc: 58.4
4:164 -> K: 24 | acc: 59.199999999999996
4:165 -> K: 24 | acc: 60.0
4:166 -> K: 24 | acc: 58.4
4:167 -> K: 24 | acc: 58.4
4:168 -> K: 24 | acc: 59.199999999999996
4:169 -> K: 24 | acc: 61.6
4:170 -> K: 23 | acc: 61.6
4:171 -> K: 23 | acc: 60.0
4:172 -> K: 24 | acc: 58.4
4:173 -> K: 24 | acc: 57.599999999999994
4:174 -> K: 24 | acc: 57.599999999999994
4:175 -> K: 24 | acc: 56.8
4:176 -> K: 22 | acc: 56.00000000000001
4:177 -> K: 24 | acc: 57.599999999999994
4:178 -> K: 24 | acc: 57.599999999999994
4:179 -> K: 24 | acc: 56.8
4:180 -> K: 24 | acc: 55.2
4:181 -> K: 24 | acc: 54.400000000000006
4:182 -> K: 24 | acc: 56.00000000000001
4:183 -> K: 24 | acc: 55.2
4:184 -> K: 22 | acc: 55.2
4:185 -> K: 24 | acc: 55.2
4:186 -> K: 24 | acc: 54.400000000000006
4:187 -> K: 24 | acc: 54.400000000000006
4:188 -> K: 24 | acc: 56.00000000000001
4:189 -> K: 24 | acc: 53.6
4:190 -> K: 24 | acc: 55.2
4:191 -> K: 24 | acc: 56.00000000000001
4:192 -> K: 24 | acc: 55.2
4:193 -> K: 22 | acc: 54.400000000000006
4:194 -> K: 24 | acc: 56.00000000000001
4:195 -> K: 24 | acc: 54.400000000000006
4:196 -> K: 24 | acc: 54.400000000000006
4:197 -> K: 24 | acc: 53.6
4:198 -> K: 23 | acc: 52.800000000000004
4:199 -> K: 23 | acc: 52.0
4:200 -> K: 23 | acc: 52.0
4:201 -> K: 22 | acc: 51.2
4:202 -> K: 24 | acc: 54.400000000000006
4:203 -> K: 24 | acc: 53.6
4:204 -> K: 24 | acc: 53.6
