2:225 -> K: 20 | acc: 36.0
2:226 -> K: 20 | acc: 36.0
2:227 -> K: 20 | acc: 35.199999999999996
2:228 -> K: 20 | acc: 35.199999999999996
2:229 -> K: 20 | acc: 36.0
2:230 -> K: 20 | acc: 36.0
2:231 -> K: 20 | acc: 36.0
2:232 -> K: 20 | acc: 36.0
2:233 -> K: 20 | acc: 36.0
2:234 -> K: 20 | acc: 36.0
2:235 -> K: 20 | acc: 36.0
2:236 -> K: 20 | acc: 36.0
2:237 -> K: 20 | acc: 36.0
2:238 -> K: 20 | acc: 36.0
2:239 -> K: 20 | acc: 36.0
3:65 -> K: 24 | acc: 45.6
3:66 -> K: 22 | acc: 48.8
3:67 -> K: 24 | acc: 49.6
3:68 -> K: 24 | acc: 55.2
3:69 -> K: 21 | acc: 52.800000000000004
3:70 -> K: 22 | acc: 50.4
3:71 -> K: 21 | acc: 51.2
3:72 -> K: 21 | acc: 51.2
3:73 -> K: 24 | acc: 48.8
3:74 -> K: 21 | acc: 48.0
3:75 -> K: 24 | acc: 48.8
3:76 -> K: 24 | acc: 49.6
3:77 -> K: 24 | acc: 51.2
3:78 -> K: 24 | acc: 50.4
3:79 -> K: 22 | acc: 51.2
3:80 -> K: 21 | acc: 50.4
3:81 -> K: 22 | acc: 52.0
3:82 -> K: 22 | acc: 52.800000000000004
3:83 -> K: 21 | acc: 52.800000000000004
3:84 -> K: 21 | acc: 49.6
3:85 -> K: 22 | acc: 49.6
3:86 -> K: 22 | acc: 51.2
3:87 -> K: 22 | acc: 53.6
3:88 -> K: 22 | acc: 52.800000000000004
3:89 -> K: 24 | acc: 54.400000000000006
3:90 -> K: 23 | acc: 54.400000000000006
3:91 -> K: 22 | acc: 51.2
3:92 -> K: 24 | acc: 51.2
3:93 -> K: 24 | acc: 49.6
3:94 -> K: 24 | acc: 48.8
3:95 -> K: 24 | acc: 48.8
3:96 -> K: 23 | acc: 48.8
3:97 -> K: 24 | acc: 51.2
3:98 -> K: 24 | acc: 49.6
3:99 -> K: 24 | acc: 50.4
