5:138 -> K: 20 | acc: 93.60000000000001
5:139 -> K: 20 | acc: 94.39999999999999
5:140 -> K: 20 | acc: 93.60000000000001
5:141 -> K: 20 | acc: 93.60000000000001
5:142 -> K: 20 | acc: 93.60000000000001
5:143 -> K: 20 | acc: 94.39999999999999
5:144 -> K: 20 | acc: 94.39999999999999
5:145 -> K: 20 | acc: 94.39999999999999
5:146 -> K: 20 | acc: 94.39999999999999
5:147 -> K: 20 | acc: 94.39999999999999
5:148 -> K: 20 | acc: 95.19999999999999
5:149 -> K: 20 | acc: 95.19999999999999
5:150 -> K: 20 | acc: 95.19999999999999
5:151 -> K: 20 | acc: 94.39999999999999
5:152 -> K: 20 | acc: 94.39999999999999
5:153 -> K: 20 | acc: 94.39999999999999
5:154 -> K: 20 | acc: 94.39999999999999
5:155 -> K: 20 | acc: 94.39999999999999
5:156 -> K: 20 | acc: 94.39999999999999
5:157 -> K: 20 | acc: 93.60000000000001
5:158 -> K: 20 | acc: 94.39999999999999
5:159 -> K: 20 | acc: 93.60000000000001
5:160 -> K: 20 | acc: 94.39999999999999
5:161 -> K: 20 | acc: 94.39999999999999
5:162 -> K: 20 | acc: 94.39999999999999
5:163 -> K: 20 | acc: 95.19999999999999
5:164 -> K: 20 | acc: 95.19999999999999
5:165 -> K: 20 | acc: 94.39999999999999
5:166 -> K: 22 | acc: 94.39999999999999
5:167 -> K: 20 | acc: 93.60000000000001
5:168 -> K: 20 | acc: 94.39999999999999
5:169 -> K: 20 | acc: 94.39999999999999
5:170 -> K: 20 | acc: 94.39999999999999
5:171 -> K: 20 | acc: 94.39999999999999
5:172 -> K: 20 | acc: 94.39999999999999
5:173 -> K: 20 | acc: 94.39999999999999
5:174 -> K: 22 | acc: 94.39999999999999
5:175 -> K: 20 | acc: 94.39999999999999
5:176 -> K: 20 | acc: 94.39999999999999
5:177 -> K: 22 | acc: 95.19999999999999
5:178 -> K: 22 | acc: 95.19999999999999
5:179 -> K: 22 | acc: 95.19999999999999
5:180 -> K: 22 | acc: 95.19999999999999
5:181 -> K: 20 | acc: 94.39999999999999
5:182 -> K: 22 | acc: 94.39999999999999
5:183 -> K: 22 | acc: 94.39999999999999
5:184 -> K: 20 | acc: 95.19999999999999
5:185 -> K: 20 | acc: 95.19999999999999
5:186 -> K: 20 | acc: 95.19999999999999
5:187 -> K: 20 | acc: 96.0
5:188 -> K: 20 | acc: 95.19999999999999
5:189 -> K: 20 | acc: 96.0
5:190 -> K: 20 | acc: 96.0
5:191 -> K: 20 | acc: 96.0
5:192 -> K: 20 | acc: 96.0
5:193 -> K: 20 | acc: 95.19999999999999
5:194 -> K: 20 | acc: 95.19999999999999
5:195 -> K: 20 | acc: 95.19999999999999
5:196 -> K: 20 | acc: 95.19999999999999
5:197 -> K: 20 | acc: 95.19999999999999
5:198 -> K: 20 | acc: 96.0
5:199 -> K: 20 | acc: 96.0
5:200 -> K: 20 | acc: 95.19999999999999
5:201 -> K: 20 | acc: 95.19999999999999
5:202 -> K: 20 | acc: 95.19999999999999
5:203 -> K: 20 | acc: 95.19999999999999
5:204 -> K: 20 | acc: 95.19999999999999
5:205 -> K: 20 | acc: 95.19999999999999
5:206 -> K: 20 | acc: 95.19999999999999
5:207 -> K: 20 | acc: 95.19999999999999
5:208 -> K: 20 | acc: 95.19999999999999
5:209 -> K: 20 | acc: 95.19999999999999
5:210 -> K: 20 | acc: 95.19999999999999
6:65 -> K: 20 | acc: 83.2
6:66 -> K: 22 | acc: 84.0
6:67 -> K: 20 | acc: 84.0
6:68 -> K: 22 | acc: 84.0
6:69 -> K: 22 | acc: 84.0
6:70 -> K: 21 | acc: 84.0
6:71 -> K: 23 | acc: 85.6
6:72 -> K: 23 | acc: 85.6
6:73 -> K: 22 | acc: 84.8
6:74 -> K: 23 | acc: 84.8
6:75 -> K: 21 | acc: 84.0
