2:176 -> K: 22 | acc: 52.800000000000004
2:177 -> K: 20 | acc: 52.0
2:178 -> K: 22 | acc: 52.800000000000004
2:179 -> K: 22 | acc: 53.6
2:180 -> K: 21 | acc: 52.0
2:181 -> K: 21 | acc: 52.0
2:182 -> K: 20 | acc: 51.2
2:183 -> K: 20 | acc: 51.2
2:184 -> K: 20 | acc: 52.0
2:185 -> K: 20 | acc: 52.0
2:186 -> K: 20 | acc: 52.0
2:187 -> K: 20 | acc: 52.0
2:188 -> K: 20 | acc: 52.0
2:189 -> K: 20 | acc: 52.800000000000004
2:190 -> K: 20 | acc: 52.0
2:191 -> K: 20 | acc: 52.0
2:192 -> K: 20 | acc: 52.0
2:193 -> K: 20 | acc: 52.800000000000004
2:194 -> K: 20 | acc: 52.0
2:195 -> K: 20 | acc: 51.2
2:196 -> K: 20 | acc: 51.2
2:197 -> K: 20 | acc: 52.0
2:198 -> K: 20 | acc: 51.2
2:199 -> K: 20 | acc: 52.0
2:200 -> K: 20 | acc: 51.2
2:201 -> K: 20 | acc: 51.2
2:202 -> K: 20 | acc: 51.2
2:203 -> K: 20 | acc: 51.2
2:204 -> K: 20 | acc: 51.2
2:205 -> K: 20 | acc: 51.2
2:206 -> K: 20 | acc: 49.6
2:207 -> K: 20 | acc: 50.4
2:208 -> K: 20 | acc: 50.4
2:209 -> K: 20 | acc: 50.4
2:210 -> K: 20 | acc: 50.4
2:211 -> K: 20 | acc: 51.2
2:212 -> K: 20 | acc: 51.2
2:213 -> K: 20 | acc: 51.2
2:214 -> K: 20 | acc: 51.2
2:215 -> K: 20 | acc: 51.2
2:216 -> K: 20 | acc: 52.0
2:217 -> K: 20 | acc: 51.2
2:218 -> K: 20 | acc: 52.0
2:219 -> K: 20 | acc: 52.0
2:220 -> K: 20 | acc: 51.2
2:221 -> K: 20 | acc: 52.0
2:222 -> K: 20 | acc: 51.2
2:223 -> K: 20 | acc: 51.2
2:224 -> K: 20 | acc: 51.2
2:225 -> K: 20 | acc: 51.2
2:226 -> K: 20 | acc: 51.2
2:227 -> K: 20 | acc: 51.2
2:228 -> K: 20 | acc: 50.4
2:229 -> K: 20 | acc: 50.4
2:230 -> K: 20 | acc: 50.4
2:231 -> K: 20 | acc: 50.4
2:232 -> K: 20 | acc: 51.2
2:233 -> K: 20 | acc: 51.2
2:234 -> K: 20 | acc: 51.2
2:235 -> K: 20 | acc: 51.2
2:236 -> K: 20 | acc: 51.2
2:237 -> K: 20 | acc: 51.2
2:238 -> K: 20 | acc: 52.0
2:239 -> K: 20 | acc: 51.2
2:240 -> K: 20 | acc: 51.2
2:241 -> K: 20 | acc: 51.2
2:242 -> K: 20 | acc: 51.2
2:243 -> K: 20 | acc: 51.2
2:244 -> K: 20 | acc: 51.2
2:245 -> K: 20 | acc: 51.2
2:246 -> K: 20 | acc: 51.2
2:247 -> K: 20 | acc: 51.2
2:248 -> K: 20 | acc: 51.2
2:249 -> K: 20 | acc: 51.2
3:65 -> K: 21 | acc: 52.800000000000004
3:66 -> K: 21 | acc: 52.0
3:67 -> K: 21 | acc: 50.4
3:68 -> K: 21 | acc: 52.0
3:69 -> K: 21 | acc: 52.0
3:70 -> K: 21 | acc: 52.0
3:71 -> K: 21 | acc: 52.0
3:72 -> K: 21 | acc: 54.400000000000006
3:73 -> K: 21 | acc: 55.2
3:74 -> K: 21 | acc: 53.6
3:75 -> K: 21 | acc: 52.800000000000004
3:76 -> K: 21 | acc: 62.4
3:77 -> K: 21 | acc: 62.4
3:78 -> K: 21 | acc: 62.4
3:79 -> K: 21 | acc: 60.0
3:80 -> K: 21 | acc: 60.0
3:81 -> K: 21 | acc: 60.0
3:82 -> K: 21 | acc: 61.6
3:83 -> K: 21 | acc: 59.199999999999996
3:84 -> K: 21 | acc: 59.199999999999996
3:85 -> K: 21 | acc: 60.0
3:86 -> K: 21 | acc: 62.4
3:87 -> K: 21 | acc: 64.8
3:88 -> K: 21 | acc: 64.8
3:89 -> K: 20 | acc: 61.6
3:90 -> K: 20 | acc: 62.4
3:91 -> K: 22 | acc: 63.2
3:92 -> K: 21 | acc: 64.0
3:93 -> K: 21 | acc: 64.8
3:94 -> K: 20 | acc: 62.4
3:95 -> K: 21 | acc: 63.2
3:96 -> K: 21 | acc: 65.60000000000001
3:97 -> K: 20 | acc: 64.0
3:98 -> K: 23 | acc: 63.2
3:99 -> K: 21 | acc: 64.0
3:100 -> K: 22 | acc: 64.0
3:101 -> K: 22 | acc: 63.2
3:102 -> K: 23 | acc: 64.0
3:103 -> K: 20 | acc: 62.4
3:104 -> K: 21 | acc: 64.0
3:105 -> K: 20 | acc: 64.0
3:106 -> K: 21 | acc: 62.4
3:107 -> K: 20 | acc: 62.4
3:108 -> K: 21 | acc: 63.2
3:109 -> K: 21 | acc: 64.0
3:110 -> K: 21 | acc: 63.2
3:111 -> K: 21 | acc: 62.4
3:112 -> K: 21 | acc: 62.4
3:113 -> K: 23 | acc: 62.4
3:114 -> K: 22 | acc: 63.2
3:115 -> K: 22 | acc: 63.2
3:116 -> K: 20 | acc: 63.2
3:117 -> K: 21 | acc: 64.0
3:118 -> K: 21 | acc: 64.0
3:119 -> K: 22 | acc: 64.8
3:120 -> K: 22 | acc: 64.8
3:121 -> K: 22 | acc: 66.4
3:122 -> K: 22 | acc: 65.60000000000001
3:123 -> K: 23 | acc: 64.8
3:124 -> K: 22 | acc: 64.8
3:125 -> K: 22 | acc: 65.60000000000001
3:126 -> K: 22 | acc: 64.8
3:127 -> K: 22 | acc: 64.8
3:128 -> K: 22 | acc: 68.8
3:129 -> K: 22 | acc: 70.39999999999999
3:130 -> K: 22 | acc: 72.8
3:131 -> K: 22 | acc: 72.8
3:132 -> K: 22 | acc: 72.0
3:133 -> K: 23 | acc: 72.8
3:134 -> K: 23 | acc: 72.0
3:135 -> K: 22 | acc: 71.2
3:136 -> K: 22 | acc: 72.8
3:137 -> K: 22 | acc: 72.8
3:138 -> K: 22 | acc: 72.0
3:139 -> K: 22 | acc: 72.0
3:140 -> K: 22 | acc: 70.39999999999999
3:141 -> K: 22 | acc: 70.39999999999999
3:142 -> K: 22 | acc: 72.0
3:143 -> K: 23 | acc: 72.0
3:144 -> K: 21 | acc: 72.8
3:145 -> K: 23 | acc: 71.2
3:146 -> K: 21 | acc: 70.39999999999999
3:147 -> K: 21 | acc: 71.2
3:148 -> K: 21 | acc: 70.39999999999999
3:149 -> K: 21 | acc: 70.39999999999999
3:150 -> K: 21 | acc: 70.39999999999999
3:151 -> K: 21 | acc: 72.0
3:152 -> K: 23 | acc: 71.2
3:153 -> K: 21 | acc: 71.2
3:154 -> K: 21 | acc: 72.0
3:155 -> K: 21 | acc: 72.0
3:156 -> K: 21 | acc: 72.8
3:157 -> K: 21 | acc: 72.0
3:158 -> K: 21 | acc: 72.0
3:159 -> K: 21 | acc: 68.8
3:160 -> K: 22 | acc: 68.8
3:161 -> K: 21 | acc: 68.0
3:162 -> K: 21 | acc: 68.0
3:163 -> K: 21 | acc: 68.8
3:164 -> K: 21 | acc: 68.0
3:165 -> K: 21 | acc: 69.6
3:166 -> K: 21 | acc: 68.8
3:167 -> K: 20 | acc: 68.0
